id,category,sub,question_text,option_1,option_2,option_3,option_4,correct_answer
1,Auth,Auth,What should you do if you receive an unexpected email asking you to reset your password?,Click the link immediately to reset your password,Ignore the email and delete it without reading,Check the sender's email address and verify its authenticity before taking any action,Report the email to the IT department if it looks suspicious,"[""option_3"",""option_4""]"
2,Auth,Auth,Why is it important to use a unique password for each of your accounts?,It makes it easier to remember your passwords,So you can write them down in one place,To prevent multiple accounts from being compromised if one password is stolen,It helps to confuse hackers trying to guess your passwords,"[""option_3""]"
3,Auth,Auth,What is the best action to take if you're unsure about the legitimacy of a website you're logging into?,Enter your credentials quickly before any threats can attack,Check the website's URL for any misspellings or unusual characters,Close the browser and ignore the website,Ask a colleague for advice without sharing your credentials,"[""option_2""]"
4,Auth,Auth,Which of the following is the most secure way to log into a sensitive account?,"Using a short, memorable password",Enabling Multi-Factor Authentication (MFA),Logging in from a public Wi-Fi network,Using the same password for multiple accounts for simplicity,"[""option_2""]"
5,Auth,Auth,"If you notice an unfamiliar device is logged into one of your accounts, what should you do first?",Log out from that device remotely if possible,Ignore it if the device is not actively being used,Change your password immediately,Notify your IT department about the suspicious activity,"[""option_1"",""option_3"",""option_4""]"
6,Auth,Auth,"What is Credential Stuffing, and why should you be concerned about it?",It's when hackers guess passwords randomly; it only targets weak passwords,It's when hackers use a stolen password on multiple sites to see if it works,It only affects accounts with multi-factor authentication enabled,"It's an outdated attack method, so thereâ€™s no need to worry about it","[""option_2""]"
7,Auth,Auth,Which action best protects against Brute Force Attacks?,Using a password with 8 characters or fewer,Setting up a complex and lengthy password,Reusing a password youâ€™ve memorized,Changing your password every few years,"[""option_2""]"
8,Auth,Auth,How can you protect yourself from Session Hijacking?,"Always log out from websites after finishing your session, especially on public computers",Use the same browser session without closing it,Ignore security warnings from your browser,Enable MFA on accounts that offer it,"[""option_1"",""option_4""]"
9,Auth,Auth,What should you do if you suspect your credentials have been compromised?,Change your password immediately,Continue using the account normally until you receive a notification,Report the incident to your IT department,Log into other accounts to see if the same credentials work,"[""option_1"",""option_3""]"
10,Auth,Auth,Why is it risky to use public Wi-Fi when accessing sensitive accounts?,Public Wi-Fi is slow and can lead to timeouts,Your data can be easily intercepted by attackers on the same network,Public Wi-Fi is always encrypted and secure,There's no risk if the public Wi-Fi is free,"[""option_2""]"
11,Auth,Auth,What is the recommended minimum length for a strong password?,6 characters,8-10 characters,12-14 characters,20 characters,"[""option_2""]"
12,Auth,Auth,Which of the following is NOT a recommended practice for password security?,Using unique passwords for each account,"Including a mix of upper and lowercase letters, numbers, and symbols",Reusing passwords across different websites,Changing passwords regularly,"[""option_3""]"
13,Auth,Auth,What should you do if you receive an unsolicited email asking you to reset your password?,Click the link in the email and reset your password immediately,Forward the email to all your colleagues to warn them,Ignore the email and delete it,Report the suspicious email to your IT department,"[""option_4""]"
14,Auth,Auth,What is Multi-Factor Authentication (MFA)?,Using multiple passwords for the same account,A method that requires two or more verification factors to gain access,A type of antivirus software,A way to encrypt emails,"[""option_2""]"
15,Auth,Auth,Which of the following is likely to be an example of a phishing attempt?,An email from your boss asking you to review a document,A text message from your bank about a suspicious transaction,An urgent email asking you to verify your account by clicking a link,A newsletter you subscribed to,"[""option_1"",""option_2"",""option_3""]"
16,Auth,Auth,What should you do after using a shared or public computer?,Leave your accounts logged in for convenience,Log out of all accounts and close the browser,Change your passwords on your personal device later,Clear the browser history,"[""option_2""]"
17,Auth,Auth,What is the purpose of a CAPTCHA system?,To make websites look more attractive,To slow down human users,To prevent automated attacks,To collect user data,"[""option_3""]"
18,Auth,Auth,"In a Zero Trust approach to security, what should employees expect?",Less frequent identity verifications,"More frequent identity verifications, even for familiar resources",No changes to their daily work routine,Reduced security measures,"[""option_2""]"
19,Auth,Auth,What is a credential stuffing attack?,When an attacker tries to guess your password,When an attacker uses stolen username/password combinations on multiple sites,When an attacker sends you a fake email,When an attacker installs malware on your computer,"[""option_2""]"
20,Auth,Auth,Which of the following is a best practice for password management?,Writing down all your passwords in a notebook,Using the same password for all your accounts,Using a company-approved password manager,Sharing your passwords with trusted colleagues,"[""option_3""]"
21,Phishing,BEC_and_quishing,You receive an urgent email from your CEO asking you to transfer funds to a new account. What should you do first?,Immediately make the transfer as requested,Reply to the email to confirm the details,Verify the request through a different communication channel,Forward the email to your entire team for advice,"[""option_3""]"
22,Phishing,BEC_and_quishing,Which of the following is NOT a common characteristic of a Business Email Compromise (BEC) attack?,Spoofed sender domain,Urgency in the email subject and body,Requests for fund transfers,Detailed technical explanations of server issues,"[""option_4""]"
23,Phishing,BEC_and_quishing,An email from a vendor asks you to update their payment information. What is the best course of action?,Update the information immediately,"Contact the vendor through a known, verified phone number to confirm",Forward the email to your supervisor,Ignore the email completely,"[""option_2""]"
24,Phishing,BEC_and_quishing,Which type of BEC attack involves a criminal impersonating a company's legal representative?,CEO fraud,Bogus Invoice Scheme,Attorney Impersonation,Data Theft,"[""option_3""]"
25,Phishing,BEC_and_quishing,You notice an email from HR requesting confidential employee information. What should you be wary of?,The sender's email domain,Any sense of urgency in the request,Unusual grammatical errors or typos,All of the above,"[""option_4""]"
26,Phishing,BEC_and_quishing,What is a key difference between traditional phishing and Business Email Compromise?,BEC attacks are always sent from compromised accounts,BEC attacks are more targeted and sophisticated,Phishing emails never ask for money,BEC attacks only target CEOs,"[""option_2""]"
27,Phishing,BEC_and_quishing,An email from your manager asks you to purchase gift cards for a client. What should you do?,Purchase the gift cards immediately,Verify the request by calling your manager,Reply to the email asking for more details,Forward the email to IT security,"[""option_2""]"
28,Phishing,BEC_and_quishing,Which of the following is NOT a recommended practice to prevent BEC attacks?,Verify requests for payments or information changes through a second channel,Implement multi-factor authentication for email accounts,Allow email forwarding to external addresses for convenience,Train employees to recognize signs of BEC attacks,"[""option_3""]"
